patch,ncell,x,y,model_zb,cudem_zb,gap_m,n_soundings,cells_sounded_frac,sounded_bed_m,channel,survey,verdict
38,81,586741,4471869,0.9,-4.16,5.06,160,0.4,-4.57,Shrewsbury River,NJ_14_SNR_20260225_OT_5669_30,LEAVE
7,73,584174,4449007,0.84,-3.11,3.95,226,0.77,-5.67,Shark River Inlet,NJ_10_SRI_20150902_CS_4383_15,CARVE
50,61,586981,4467499,0.84,-3.5,4.34,19,0.1,-2.87,Shrewsbury River,NJ_14_SNR_20160603_CS_4475_15,LEAVE
35,45,586273,4457867,0.19,-2.51,2.7,215,0.82,0.35,Seabright to Manasquan,NJ_22_SBM_20220322_OT_5154_35,LEAVE
41,33,586731,4465740,1.11,-2.46,3.57,0,0.0,,,,LEAVE
15,31,584539,4481400,0.3,-3.11,3.41,159,0.06,-4.49,SANDY HOOK CHANNEL,NY_03_SHC_20211123_AD_5111_45,LEAVE
52,29,586945,4470081,1.27,-3.57,4.84,87,0.93,-2.98,Shrewsbury River,NJ_14_SNR_20160603_CS_4475_15,CARVE
51,21,586924,4469041,1.94,-3.58,5.51,24,0.43,-3.99,Shrewsbury River,NJ_14_SNR_20210915_CS_5070_30,LEAVE
42,12,586717,4474124,0.19,-2.15,2.34,0,0.0,,,,LEAVE
28,8,585646,4454569,0.45,-3.01,3.45,34,0.88,-1.38,Seabright to Manasquan,NJ_22_SBM_20220322_OT_5154_35,CARVE
43,8,586797,4466847,0.74,-2.43,3.17,0,0.0,,,,LEAVE
45,7,586774,4468318,0.83,-3.8,4.63,10,0.57,-3.83,Shrewsbury River,NJ_14_SNR_20160603_CS_4475_15,CARVE
31,6,585763,4455523,0.55,-2.49,3.04,50,0.83,2.37,Seabright to Manasquan,NJ_22_SBM_20220322_OT_5154_35,LEAVE
33,6,586019,4456351,0.28,-3.96,4.25,14,0.67,0.29,Seabright to Manasquan,NJ_22_SBM_20220322_OT_5154_35,LEAVE
3,6,583501,4481312,0.35,-2.25,2.59,0,0.0,,,,LEAVE
40,5,586513,4471700,1.34,-3.18,4.52,10,1.0,-4.31,Shrewsbury River,NJ_14_SNR_20240903_BD_5473_30,CARVE
6,5,583674,4445972,0.34,-2.62,2.96,12,0.6,-2.47,Seabright to Manasquan,NJ_22_SBM_20220322_OT_5154_35,CARVE
1,5,583186,4481173,0.2,-2.2,2.39,0,0.0,,,,LEAVE
32,5,585939,4456081,0.47,-2.7,3.17,10,0.6,-0.64,Seabright to Manasquan,NJ_22_SBM_20220322_OT_5154_35,LEAVE
48,5,586863,4466239,0.2,-2.75,2.95,0,0.0,,,,LEAVE
34,5,586084,4456853,0.32,-2.63,2.95,26,1.0,2.43,Seabright to Manasquan,NJ_22_SBM_20220322_OT_5154_35,LEAVE
30,4,585744,4455158,0.5,-2.5,3.0,19,1.0,-0.04,Seabright to Manasquan,NJ_22_SBM_20220322_OT_5154_35,LEAVE
55,4,587061,4471820,-0.08,-2.09,2.01,1,0.25,-1.41,Seabright to Manasquan,NJ_22_SBM_20220322_OT_5154_35,LEAVE
